usd_exchange_rate_venezuela,usd_exchange_rate_colombia,usd_exchange_rate_mexico,usd_exchange_rate_argentina,usd_exchange_rate_chile,usd_exchange_rate_uruguay,usd_exchange_rate_peru,date
48.7903,4396.52,20.2275,1015.5,971.65,43.543,3.73083333333333,2024-12-08
48.7903,4396.52,20.2275,1015.5,971.62,43.543,3.73083333333333,2024-12-09
48.8695,4379.71,20.1547,1016.5,969.92,43.726,3.73083333333333,2024-12-10
49.1111,4379.71,20.2485,1017.0,972.43,44.028,3.72183333333333,2024-12-11
49.4757,4361.22,20.1647,1017.5,975.81,44.433,3.72183333333333,2024-12-12
49.9068,4361.22,20.1647,1019.0,975.67,44.281,3.72083333333333,2024-12-13
50.3319,4341.32,20.142,1020.5,975.67,44.558,3.72083333333333,2024-12-14
50.3319,4341.32,20.142,1020.5,975.67,44.558,3.72083333333333,2024-12-15
50.371,4341.32,20.1448,1022.5,983.25,44.361,3.7355,2024-12-16
50.5419,4345.32,20.2363,1021.5,990.87,44.572,3.7345,2024-12-18
51.3504,4359.11,20.4402,1023.0,988.44,44.728,3.73516666666667,2024-12-19
56.6522,4188.46,20.2255,1049.0,982.95,43.243,3.7145,2025-01-27
